Feature,Q1,Median,Q3,IQR,Lower_Bound,Upper_Bound,Minimum,Maximum,Outlier_Count,Outlier_Percentage
Distance(mi),0.0,0.006,0.35,0.35,-0.525,0.875,0.0,194.73,141369,14.1446
Temperature(F),49.0,64.0,76.0,27.0,8.5,116.5,-89.0,196.0,6265,0.6402
Wind_Chill(F),41.9,61.0,75.0,33.1,-7.75,124.65,-89.0,196.0,4482,0.6361
Humidity(%),49.0,67.0,84.0,35.0,-3.5,136.5,1.0,100.0,0,0.0
Pressure(in),29.41,29.87,30.04,0.63,28.465,30.985,0.12,58.63,55880,5.6929
Visibility(mi),10.0,10.0,10.0,0.0,10.0,10.0,0.0,100.0,193151,19.7744
Wind_Speed(mph),4.6,7.0,10.4,5.8,-4.1,19.1,0.0,822.8,27092,2.9506
Precipitation(in),0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.47,68699,10.1751
