,Temperature(F),Temperature(F),Humidity(%),Humidity(%),Visibility(mi),Visibility(mi),Wind_Speed(mph),Wind_Speed(mph),Precipitation(in),Precipitation(in)
,mean,median,mean,median,mean,median,mean,median,mean,median
Severity,,,,,,,,,,
1,72.39835013748855,73.0,62.05971215678269,67.0,9.486287425149701,10.0,7.128618118680421,7.0,0.005142403388035998,0.0
2,61.40144954516382,63.0,64.99465116743563,67.0,9.088784843234576,10.0,7.577576698658371,7.0,0.007899460813681173,0.0
3,62.21393926392566,64.9,65.30962969947458,67.0,9.10586315319808,10.0,8.334934105720492,8.0,0.01688238096686231,0.0
4,58.358695567272015,60.8,67.34722222222223,70.0,9.097473057177568,10.0,7.794724741346277,7.0,0.007593424859939667,0.0
