,Severity_1,Severity_2,Severity_3,Severity_4
End_Lat,58.34,43.12,87.74,8.13
End_Lng,58.34,43.12,87.74,8.13
Wind_Chill(F),3.08,25.51,46.09,32.94
Precipitation(in),5.27,28.27,49.44,38.49
Wind_Speed(mph),1.8,7.25,11.53,11.06
Temperature(F),1.51,2.07,2.05,3.04
Humidity(%),1.74,2.21,2.17,3.21
Pressure(in),1.01,1.78,1.76,2.67
Visibility(mi),1.17,2.22,2.37,3.37
Weather_Condition,1.29,2.18,2.35,3.46
