Year,1,2,3,4
2016.0,0.04,65.76,30.77,3.43
2017.0,0.04,64.38,32.22,3.36
2018.0,0.03,64.31,32.78,2.89
2019.0,0.02,72.05,24.97,2.95
2020.0,2.41,78.89,16.08,2.62
2021.0,0.01,86.16,11.97,1.86
2022.0,3.83,86.02,7.91,2.23
2023.0,0.0,97.07,0.0,2.93
