Year,1,2,3,4
2016.0,26,40388,18898,2105
2017.0,41,69554,34812,3631
2018.0,40,86363,44018,3877
2019.0,31,103157,35756,4229
2020.0,4184,136989,27915,4549
2021.0,24,159121,22110,3429
2022.0,5624,126296,11618,3278
2023.0,0,18314,0,553
