Feature,Category,Data_Type,Train_Unique_Values,Test_Unique_Values,Train_Missing,Test_Missing
Wind_Direction_VAR,ONE_HOT,int64,2,2,0,0
Wind_Direction_Variable,ONE_HOT,int64,2,2,0,0
Wind_Direction_W,ONE_HOT,int64,2,2,0,0
Wind_Direction_WNW,ONE_HOT,int64,2,2,0,0
Wind_Direction_WSW,ONE_HOT,int64,2,2,0,0
Wind_Direction_West,ONE_HOT,int64,2,2,0,0
Sunrise_Sunset_Day,ONE_HOT,int64,2,2,0,0
Sunrise_Sunset_Missing,MISSING_INDICATOR,int64,2,2,0,0
Sunrise_Sunset_Night,ONE_HOT,int64,2,2,0,0
Civil_Twilight_Day,ONE_HOT,int64,2,2,0,0
Civil_Twilight_Missing,MISSING_INDICATOR,int64,2,2,0,0
Civil_Twilight_Night,ONE_HOT,int64,2,2,0,0
Nautical_Twilight_Day,ONE_HOT,int64,2,2,0,0
Nautical_Twilight_Missing,MISSING_INDICATOR,int64,2,2,0,0
Nautical_Twilight_Night,ONE_HOT,int64,2,2,0,0
Astronomical_Twilight_Day,ONE_HOT,int64,2,2,0,0
Astronomical_Twilight_Missing,MISSING_INDICATOR,int64,2,2,0,0
Astronomical_Twilight_Night,ONE_HOT,int64,2,2,0,0
Distance_log1p,TRANSFORMED_NUMERICAL,float64,12207,8015,0,0
Precipitation_log1p,TRANSFORMED_NUMERICAL,float64,194,145,0,0
